assetId,route,pageId,slot,family,status,publicUseAllowed,note
NSA-96cab8ce-18326,/responsible-ai,COR-010,icon-illustration,ai-agency,production-candidate,True,
NSA-7e4d4715-27802,/services/ai-automation,SRV-001,icon-illustration,ai-agency,production-candidate,True,
NSA-0ebe17ac-21257,/services/ai-automation/ai-workflow-automation,SRV-001-1,icon-illustration,ai-agency,production-candidate,True,
NSA-6c70fb64-13077,/services/ai-automation/business-process-automation,SRV-001-2,icon-illustration,ai-agency,production-candidate,True,
NSA-a0da7b08-22209,/services/ai-automation/document-processing-automation,SRV-001-3,icon-illustration,ai-agency,production-candidate,True,
NSA-a05ee1db-859,/services/custom-software-development,SRV-002,component-icon,ai-agency,production-candidate,True,
NSA-1e068b71-5886,/services/custom-software-development/custom-software-development,SRV-002-1,component-icon,ai-agency,production-candidate,True,
NSA-f1e54cdb-5672,/services/custom-software-development/custom-software-cost,SRV-002-2,component-icon,ai-agency,production-candidate,True,
NSA-0f68fe51-1617,/services/custom-software-development/software-requirements,SRV-002-3,component-icon,ai-agency,production-candidate,True,
NSA-a4be5a03-535,/services/digital-product-design/digital-product-strategy,SRV-003-3,component-icon,ai-agency,production-candidate,True,
NSA-e0d06d0e-4647,/services/pos-retail-inventory,SRV-006,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-8a36fcdc-10375,/services/pos-retail-inventory/pos-system,SRV-006-1,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-edc13d5b-10375,/services/pos-retail-inventory/offline-pos-system,SRV-006-2,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-e3b02060-4265,/services/pos-retail-inventory/inventory-accuracy,SRV-006-3,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-ddf70c68-6242,/services/supply-chain-procurement-operations,SRV-011,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
