route,pageId,pageType,sourceFamily,sourceTemplateKey,indexable
/,COR-001,Home,automation-saas,automation-saas:index,True
/about,COR-002,Company,ai-agency,ai-agency:index,True
/about/leadership,COR-003,Company,app-development,app-development:index,True
/about/team,COR-004,Company,automation-saas,automation-saas:index,True
/careers,COR-005,Company,creative-portfolio,creative-portfolio:index,True
/partners,COR-006,Company,ai-agency,ai-agency:index,True
/global-delivery,COR-007,Company,app-development,app-development:index,True
/quality-engineering,COR-008,Company,automation-saas,automation-saas:index,True
/security,COR-009,Company,creative-portfolio,creative-portfolio:index,True
/responsible-ai,COR-010,Company,automation-saas,automation-saas:index,True
/accessibility,COR-011,Company,app-development,app-development:index,True
/contact,COR-012,Company,automation-saas,automation-saas:index,True
/start-project,COR-013,Company,creative-portfolio,creative-portfolio:index,True
/engagement-models,COR-014,Company,ai-agency,ai-agency:index,True
/services,SRV-000,Service Hub,app-development,app-development:services,True
/services/ai-automation,SRV-001,Service,automation-saas,automation-saas:index,True
/services/ai-automation/ai-workflow-automation,SRV-001-1,Subservice,automation-saas,automation-saas:index,True
/services/ai-automation/business-process-automation,SRV-001-2,Subservice,automation-saas,automation-saas:index,True
/services/ai-automation/document-processing-automation,SRV-001-3,Subservice,automation-saas,automation-saas:index,True
/services/custom-software-development,SRV-002,Service,app-development,app-development:index,True
/services/custom-software-development/custom-software-development,SRV-002-1,Subservice,app-development,app-development:index,True
/services/custom-software-development/custom-software-cost,SRV-002-2,Subservice,app-development,app-development:index,True
/services/custom-software-development/software-requirements,SRV-002-3,Subservice,app-development,app-development:index,True
/services/digital-product-design,SRV-003,Service,app-development,app-development:index,True
/services/digital-product-design/product-discovery,SRV-003-1,Subservice,app-development,app-development:index,True
/services/digital-product-design/ux-research,SRV-003-2,Subservice,app-development,app-development:index,True
/services/digital-product-design/digital-product-strategy,SRV-003-3,Subservice,app-development,app-development:index,True
/services/web-digital-experiences,SRV-004,Service,automation-saas,automation-saas:index,True
/services/web-digital-experiences/b2b-web-design,SRV-004-1,Subservice,creative-portfolio,creative-portfolio:index,True
/services/web-digital-experiences/corporate-website-redesign,SRV-004-2,Subservice,ai-agency,ai-agency:index,True
